ticket_number,url,tenant_id,truth_sigs,judge_grounding,judge_cause_plausibility,judge_actionability,human_grounding,human_cause_plausibility,human_actionability,human_agrees_with_judge,notes
107405,https://github.com/kubernetes/kubernetes/issues/107405,37,sig/storage,2,1,2,,,,,
107927,https://github.com/kubernetes/kubernetes/issues/107927,41,sig/network,1,1,2,,,,,
108579,https://github.com/kubernetes/kubernetes/issues/108579,22,sig/network,1,1,1,,,,,
112143,https://github.com/kubernetes/kubernetes/issues/112143,27,sig/network,1,1,1,,,,,
112171,https://github.com/kubernetes/kubernetes/issues/112171,9,sig/network,1,2,2,,,,,
113139,https://github.com/kubernetes/kubernetes/issues/113139,11,sig/storage,2,1,2,,,,,
114815,https://github.com/kubernetes/kubernetes/issues/114815,35,sig/network,2,1,2,,,,,
114996,https://github.com/kubernetes/kubernetes/issues/114996,22,sig/storage,2,1,2,,,,,
115044,https://github.com/kubernetes/kubernetes/issues/115044,8,sig/storage,2,1,2,,,,,
115294,https://github.com/kubernetes/kubernetes/issues/115294,11,sig/storage,1,1,3,,,,,
115343,https://github.com/kubernetes/kubernetes/issues/115343,3,sig/storage,1,1,1,,,,,
116831,https://github.com/kubernetes/kubernetes/issues/116831,23,sig/storage,1,1,1,,,,,
117745,https://github.com/kubernetes/kubernetes/issues/117745,41,sig/storage,2,1,3,,,,,
119767,https://github.com/kubernetes/kubernetes/issues/119767,44,sig/scheduling,1,1,2,,,,,
120268,https://github.com/kubernetes/kubernetes/issues/120268,13,sig/storage,1,1,2,,,,,
121294,https://github.com/kubernetes/kubernetes/issues/121294,42,sig/storage,2,1,3,,,,,
121794,https://github.com/kubernetes/kubernetes/issues/121794,20,sig/network,1,1,1,,,,,
121942,https://github.com/kubernetes/kubernetes/issues/121942,9,sig/network,1,1,1,,,,,
123119,https://github.com/kubernetes/kubernetes/issues/123119,25,sig/storage,1,1,1,,,,,
125012,https://github.com/kubernetes/kubernetes/issues/125012,12,sig/storage,2,1,2,,,,,
126468,https://github.com/kubernetes/kubernetes/issues/126468,31,sig/network,1,1,1,,,,,
126552,https://github.com/kubernetes/kubernetes/issues/126552,6,sig/storage,1,1,1,,,,,
126885,https://github.com/kubernetes/kubernetes/issues/126885,36,sig/network,1,1,1,,,,,
126922,https://github.com/kubernetes/kubernetes/issues/126922,22,sig/network,1,1,1,,,,,
129825,https://github.com/kubernetes/kubernetes/issues/129825,29,sig/storage,1,1,1,,,,,
129982,https://github.com/kubernetes/kubernetes/issues/129982,8,sig/network,1,1,1,,,,,
131045,https://github.com/kubernetes/kubernetes/issues/131045,32,sig/storage,2,1,4,,,,,
135425,https://github.com/kubernetes/kubernetes/issues/135425,18,sig/network,1,1,2,,,,,
137797,https://github.com/kubernetes/kubernetes/issues/137797,3,sig/storage,1,1,1,,,,,
139028,https://github.com/kubernetes/kubernetes/issues/139028,41,sig/scheduling,1,1,2,,,,,
